# Source SHA-256: 5d789ae2d414bc6bd2676ff7df29955c308b4b8834b9d0192e6e60d8b270f71b
# page|name|Tank|Damage|Support|Moonstone|Complexity|Range — authored estimates, 0–5
1|Baron Von Fancyhat|3|3|1|2|1|4
2|Eric, the Squire|2|3|4|3|2|2
3|Flintlock|3|4|2|3|2|5
4|Quack|2|1|5|2|3|4
5|Fritz|3|4|1|3|2|2
6|Agatha, Tavernfrau|3|3|4|2|2|4
7|Friar Flavious|3|2|4|2|2|4
8|Mama Gimble|2|1|5|2|2|4
9|Quarrel|3|4|1|2|2|5
10|Billy|4|3|2|4|3|3
11|Young Jack|2|2|4|3|3|1
12|Morris|4|2|2|4|2|4
13|Gradock|4|4|2|2|3|5
14|Firespitter|4|5|3|2|3|4
15|Doug, the Flatulent|3|4|1|4|2|3
16|Vicious Syd|3|4|1|3|2|4
17|Beaky Bobby|2|3|4|2|3|4
18|Shabbaroon|2|1|5|3|4|4
19|Seasick Stu|2|3|3|3|2|3
20|Boom Boom McBoom|2|4|2|3|3|4
21|Grub|2|2|2|5|2|1
22|Teetoe|2|1|4|4|3|3
23|Fraya|2|3|4|4|4|4
24|The Fencer|2|5|1|3|3|2
25|Butterfingers|2|1|3|5|3|3
26|Wasp|2|3|4|4|3|4
27|Silvertongue|2|1|5|3|4|3
28|Gotchgut|5|4|4|1|2|2
29|Boulder|5|4|3|2|2|3
30|Kaufman|3|2|5|3|3|3
31|Natty, Slum Thief|2|2|2|5|3|3
32|Gertrude, the Faerie Hunter|3|4|2|3|2|3
33|Sir Guillemot Poppycock|4|4|1|3|2|3
34|Old Calders|4|3|4|3|4|3
35|Tabby, the Librarian|3|2|5|2|3|4
36|Sir Hogswash|3|4|1|2|2|3
37|Hoff|3|3|5|3|3|4
38|Jayda|2|4|2|4|3|4
39|Mr Toodles|2|1|5|4|3|4
40|Joanna, Nordic Princess|2|4|2|3|3|5
41|Muridae|3|2|4|4|4|3
42|Loci, Nordic Shipwright|3|3|3|3|3|4
43|Gnomish Airship|3|3|3|3|3|4
44|Dim & Dimmer|5|5|2|1|4|1
45|Brunhilde|5|4|5|1|3|3
46|Bristlenose|5|5|2|2|2|2
47|Ribald|5|4|3|2|3|4
