# Source SHA-256: 5d789ae2d414bc6bd2676ff7df29955c308b4b8834b9d0192e6e60d8b270f71b
# page|role|play|needs|caution|published source ids
1|Armoured melee anchor and Human leader|Advance before carrying stones; use Rallying Cry to support nearby Humans and threaten favourable sword exchanges.|Eric improves Noble melee, while a healer and mobile collector keep the Baron fighting.|Armour reduces damage, not every direct wound effect. Low energy makes long chases inefficient.|nobles
2|Soldier/Noble support and backup medic|Position Squire around the models taking the important fights; use My Hero! to concentrate support on your chosen attacker.|A threatening Noble or several Soldiers convert his support into pressure; keep healing within reach.|Do not expose Eric just to maintain an aura: losing the support model weakens several allies at once.|nobles
3|Ranged damage and backfield objective cover|Choose clear firing lanes, budget aiming and reloads, and punish enemies approaching your collectors.|Movement control keeps targets visible; Calders or Quack can support reliability and sustain.|Engagement disrupts the shooting cycle. Spending everything on a shot leaves little for repositioning.|
4|Human arcane support and primary healer|Keep Foresight supporting friendly Human casters and save healing for allies losing important energy dots.|A frontline screen buys casting space; ranged allies benefit from his arcane support.|Weakling makes prolonged melee a poor job for him. Healing cannot rescue a model already slain.|
5|Heavy melee damage and displacement|Use the greatsword to punish targets that cannot escape; shove or intimidate to open objective lanes.|Friendly movement and healing help him reach meaningful fights without burning his action budget.|His sweeping effects can threaten friendly models. Plan spacing before committing to a crowded fight.|
6|Soldier/Mercenary combat support|Use Deutsche Courage on the ally best placed to fight, then choose the drink effect that suits the next activation.|Soldiers or Mercenaries make her support relevant; a dedicated collector frees the group to contest.|Drink-related stat changes can compromise a caster. Do not hand out a buff without checking its tradeoff.|
7|Durable Human healer and close support|Follow the frontline and use Healing to sustain it; opportunistic wounds at reach can trigger Rub It Better on a nearby Human or Cleric.|Human allies exploit his support; a faster collector and a major damage dealer cover his slower utility role.|His damage resistance is selective. Preserve enough energy for healing rather than chasing every melee opportunity.|
8|Gnome support centre and healer|Keep Gnomes around her protective bubble; Mother's Love both repairs and regroups the models doing the work.|Several Gnomes make her defensive and offensive support worthwhile; Morris can handle deep objectives.|Displacement can separate her from her protection. Use current aura limits, as older Gnome advice describes stronger versions.|gnomes
9|Militia ranged pressure and positional control|Keep a Militia partner close enough for Brothers in Arms; combine crossbow threat with shoves around contested stones.|Young Jack or Billy turns on Militia support; Mama improves reliability and recovery.|Reload costs constrain repeated shooting, and engagement makes the crossbow harder to use.|gnomes
10|Mobile Gnome objective runner and charger|Use High-ho Silver to reach or escape with stones; reserve Ramming Speed for a valuable displacement or decisive hit.|Mama sustains him and Militia allies improve his fighting; deck control can prepare a crucial flip.|A full charge consumes his base energy. Avoid trading a safe scoring position for an uncertain attack.|gnomes
11|Supported Gnome duellist and deck planner|Use Lucky to prepare Magic Brew or a following friendly cast; fight inside your short reach with Noble/Militia support.|Eric, Mama and a Militia ally can make his melee far more convincing than his base stat suggests.|Short reach invites reaction escapes. Do not assume a good brew colour appears without preparation.|gnomes
12|Deep-stone specialist and defensive controller|Harvest high-depth stones efficiently, then use his free shove or Sink Hole to deny pursuit and protect the haul.|Mama keeps him healthy; a fighter discourages enemies from simply surrounding the miner.|His immunity to carrier Slow applies to exactly one stone. Shooting competes with his limited harvesting energy.|gnomes
13|Arcane disruption and safety support|Remove a crucial enemy action with Forgetfulness; position his advice and lie-detection tools around important casts.|Mama improves his weak arcane, and friendly shooters appreciate a safer bluffing position.|Do not confuse damage resistance with catastrophe protection. His control tools are often worth more than a speculative shot.|gnomes
14|Goblin fire damage and area threat|Line up valuable Fireblast targets and feed extra energy for repeated shots; keep allies clear of the dangerous catastrophe pulse.|Goblin energy support enables more work; a healer patches damage from risky plays.|Engagement prevents Fireblast. Its catastrophe disables the ability for the rest of the game and damages nearby models.|firespitter,community
15|Efficient Goblin harvester and gas brawler|Use Digger on deep stones and gas clustered enemies when their defensive tricks would hinder targeted attacks.|Healing and Goblin energy support keep him productive; displacement helps deliver the gas safely.|Gas can affect friends too. A charge should secure space or a stone, rather than start an unsupported fight.|community
16|Goblin melee finisher|Exploit armour and Vicious to chain attacks once wounds are being dealt; use a nearby Giant to improve his melee.|A compatible Giant supplies his strongest keyword support, while a healer preserves his attack economy.|His tiny wound pool is vulnerable to effects that bypass armour. Do not expect energy returns from attacks that fail to wound.|community
17|Goblin healer and anti-cluster utility|Heal damaged frontliners and use shoves or gas when positioning makes them more valuable than a direct attack.|Tough allies shield him; Goblin energy support helps balance healing with disruption.|Gas hurts friendly models in its area. Weakling means he should not become your primary melee answer.|community
18|Goblin energy engine and repositioning caster|Use Goblin Mischief to feed a key activation; Transconbobulate can rescue, repair and relocate a valuable friend.|Several Goblins use the extra energy well; healing covers the cost of unfortunate flip outcomes.|Energy flips are uncertain. Keep a workable fallback if the planned teleport or energy boost does not arrive.|community
19|Pirate movement and Goblin energy support|Use Bawdy Jokes to set up the next Goblin activation; push enemies away from stones and remove energy where it denies a key action.|Goblin Pirates exploit both sides of his support; Powder Monkey supplies recovery in a Pirate core.|His long reach is useful for interference, but does not make him a specialist heavy fighter.|pirates
20|Goblin lure and ranged setup|Pull an enemy into a prepared attack lane or away from a safe objective, then use Sucker Punch support to favour the resulting fight.|Goblin melee allies exploit isolated targets; a healer offsets risky close-range positioning.|A successful lure can also bring a dangerous attacker closer. Prepare the receiving position first.|community
21|Mobile magical Goblin attacker|Use Wyrm Hole to reposition and Bug Spray against elusive targets; pick fights where magical melee and a killing blow matter.|Energy support extends his activation and a healer repairs failed engagements.|Wyrm Hole drops carried stones. Herbert's Evolution rule prevents taking both in the same starting troupe.|
22|High-energy Faerie disruption and objective play|Use Misdirection and Arcane Reflection to interfere with enemy plans, while spare energy buys harvesting and reaction movement.|A healer sustains his small wound pool; harder-hitting allies convert disruption into a scoring advantage.|Weakling reduces both fighting and harvesting efficiency. Area damage can bypass his evasive defence.|faeries
23|Faerie healer and action denial|Use Healing to sustain fragile Faeries and Dizzly Spell to deny the enemy action that would undo their positioning.|An efficient harvester covers Feeble; Faerie energy support enables repeated useful casts.|Feeble makes digging particularly costly. Avoid spending all energy before you need a reaction escape.|faeries
24|Faerie melee skirmisher and Rogue threat|Use Swift to choose short, favourable engagements; Spiteful damage and healing reward successful contact.|Rogue/Faerie support improves consistency, while a healer and collector let him specialise in pressure.|He still has Weakling and short reach. Multi-model engagements and untargeted damage erode his safety.|faeries
25|Faerie disruption and stone denial|Use his Weakling-related trick to soften an enemy, then exploit Fizzlepop or stone-dropping effects when a collector is vulnerable.|A reliable harvester and real damage dealer make his disruption useful rather than merely annoying.|Avoid fair melee trades. His low wound pool needs protection from pulses and high-arcane attacks.|faeries
26|Faerie melee enabler with reach|Use Rage on the Faerie whose activation benefits most from losing Weakling; use the javelin and longer reach against drained targets.|Melee Faeries exploit Rage; healing and energy support keep the short-lived group fighting.|Check Rage's duration and positioning before spending it. Your own short-lived protection will not stop untargeted damage.|faeries
27|Faerie energy manipulation and enemy control|Turn bluff interactions into resources, then use Mind Control to waste an enemy's actions or undo its position.|Other Faeries benefit from his recovery tools; a specialist collector offsets Feeble's harvesting tax.|Controlled actions spend the relevant energy budget. Do not build a sequence around an enemy that cannot perform the action.|faeries
28|Giant bodyguard and close-range muscle|Stay near a Noble when protection matters, then use brute damage or Goblin-related displacement to contest space.|A compatible Noble activates Bodyguard; healing and movement support cover his low energy.|His health is a resource, not immunity. Long chases waste the energy needed for attacks and protection.|nobles
29|Troll objective controller and durable obstruction|Occupy important lanes, lower stone depths with Stone Song, and use Calcify to frustrate nearby enemy actions.|Goblin energy support or Troll healing helps him turn a defensive position into repeated useful actions.|Low melee and energy make him poor at chasing agile enemies. Armour does not protect against every wound effect.|monsters
30|Noble movement controller and theft support|Use Shower of Gold to alter crowded positions, then Money Bag or an offer to disrupt an exposed carrier.|Armoured allies exploit the spaces he creates; a healer keeps the control engine alive.|Movement effects may help enemies as well as friends. Check the whole area before activating the gold trick.|nobles
31|Evasive Rogue collector and thief|Use Swift and shifting Evade to collect safely, then steal or sling at targets that cannot retaliate effectively.|Rogue support improves his arcane; a frontliner and healer let him keep distance.|His Evade depends on the surrounding situation. Weakling and a small wound pool punish unsupported combat.|
32|Human/Faun hunter and ranged finisher|Activate after a prospective victim so Hunting Party improves the attack; use the blunderbuss to finish targets your team has softened.|Human or Faun allies exploit her hunting support; healing keeps her operating near the fight.|Natural Order can hurt friendly high-energy models too. Check the area before pairing her with energetic allies.|
33|Armoured Soldier leader and carrier protector|Support Soldiers with The Governor and move allies into useful engagement or harvesting positions with Yell Out Commands.|Several Soldiers turn his support into pressure; Eric and a healer strengthen a disciplined frontline.|His low energy and arcane limit independent flexibility. Direct wound effects can bypass his otherwise excellent armour.|nobles
34|Soldier reliability support and medic|Keep Sage Advice near important casters, use Field Medic on wounded Soldiers or Nobles, and exploit hand knowledge in his own melee exchanges.|Soldiers and Nobles use his healing, while ranged allies appreciate catastrophe protection.|Field Medic is useful recovery, but does not replace a full healer in a damage-heavy game.|
35|Energy redistribution and long-reach cleric|Transfer energy to the ally with the best immediate action, then use protection or arcane displacement to preserve the frontline.|A threatening attacker makes the energy meaningful; a collector prevents utility activations from neglecting scoring.|She starts with little energy herself. Maintain safe reach instead of letting the support role become a melee obligation.|
36|Durable Soldier charge threat|Use the charge and spear reach to dislodge an enemy from valuable ground; time Utter Swine against a pivotal enemy Arcane action.|Soldier support improves his pressure and healing replenishes the wounds spent supporting allies.|Utter Swine costs friendly wounds. Spend them only when removing the enemy action changes the turn.|
37|Faun leader and movement enabler|Keep Fauns in Hoff's support area so Swift and improved melee make efficient hit-and-run activations.|Jayda and Toodles work in either faction; in Leshavult, energy-giving Fauns expand the plan.|His support is wasted on a troupe with few Fauns. Do not chase so far that the rest lose their movement benefit.|fauns
38|Faun ranged finisher and mobile scorer|Use terrain-friendly movement to find a bow lane; prioritise wounded enemies where Mercy Kill improves the finish.|Hoff improves her movement and combat; healing and an energy donor preserve her expensive bow activation.|A bow shot consumes most of her base energy. Leave a way out rather than standing beside the target.|fauns
39|Faun support healer and energy utility|Choose Healing, Elixir or Lullaby according to whether the ally needs next-turn energy, immediate resources or wound recovery.|Mobile allies keep threats away from the healer; Hoff and Jayda form a compatible core in both factions.|Lullaby removes energy as it heals. Use it late or on a target that can afford the exchange.|fauns
40|Norse/Gnome protection and terrain-sensitive caster|Keep Gnomes or Animals nearby for damage reduction, then exploit wooded-patch interactions for useful arcane reach.|Mama and Norse allies sustain a compact group; wood access makes her terrain tricks practical.|Her protection has a cap. Do not plan a terrain-dependent cast without checking the necessary wood position.|
